id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/4047844	10.2307/4047844	The Ups and Downs of Hebrew Verb Movement	Hagit Borer	Natural Language & Linguistic Theory	13	3	1995-08-01T00:00:00Z	pp. 527-606	Springer	fla		This paper puts forth a hypothesis on the nature of the transition from VSO word order to SVO word order and, more specifically, on the status of grammars which are in a state of transition. I argue that among such grammars one expects to find one in which [SPEC,IP] is never a so-called A-position and in which syntactic verb movement to I is optional and that Modern Hebrew is an example of such a language. The first part of the paper is dedicated to evidence in favor of the optional nature of verb movement, while the second part explores the properties of [SPEC,IP] and the consequences which its non-A-status has for quantification, movement and word order.	
10.2307/27543876	10.2307/27543876	Half a Life of Editing	George Woodcock	The Sewanee Review	89	3	1981-07-01T00:00:00Z	pp. 408-418	The Johns Hopkins University Press	fla			
10.2307/1354242	10.2307/1354242	(Ex)Changing (Wo)Man: Towards a Materialist-Feminist Semiotics	Laura E. Donaldson	Cultural Critique		11	1988-12-01T00:00:00Z	pp. 5-23	University of Minnesota Press	fla			
10.2307/2169867	10.2307/2169867	The Agony and Romance of the American Left	Michael Kazin	The American Historical Review	100	5	1995-12-01T00:00:00Z	pp. 1488-1512	American Historical Association, Oxford University Press	fla			
10.2307/3173849	10.2307/3173849	"I Am Not Contented": Female Masochism and Lesbianism in Early Twentieth-Century New England	Martin Bauml Duberman	Signs	5	4	1980-07-01T00:00:00Z	pp. 825-841	The University of Chicago Press	fla			
10.2307/25617312	10.2307/25617312	The Interpretive Potential of Utopian Settlements	Thad M. Van Bueren, Sarah A. Tarlow	Historical Archaeology	40	1	2006-01-01T00:00:00Z	pp. 1-5	Society for Historical Archaeology	fla			
10.5325/jmodeperistud.4.2.0171	10.5325/jmodeperistud.4.2.0171	Assemblages of Anarchists: Political Aesthetics in <i>Mother Earth</i>	Kathy E. Ferguson	The Journal of Modern Periodical Studies	4	2	2014-02-01T00:00:00Z	pp. 171-194		fla		This article looks at the journal Mother Earth, a journal printed by Emma Goldman. Arguing that readers and viewers, as aesthetic subjects, are not pre-given individuals who then pick up a journal, this article maintains that audience members are themselves events, that they emerge from within the available opportunities to look and to read. Anarchist journals allowed aesthetic subjects to emerge, perhaps to thrive, through the process of self-creation and the making of a collective sensibility of resistance and hope.	
10.2307/4633340	10.2307/4633340	The Wisconsin Idea and Social Security	Arthur J. Altmeyer	The Wisconsin Magazine of History	42	1	1958-10-01T00:00:00Z	pp. 19-25	Wisconsin Historical Society	fla			
10.2307/1771931	10.2307/1771931	Fictionality and Fields of Reference: Remarks on a Theoretical Framework	Benjamin Harshaw (Hrushovski)	Poetics Today	5	2	1984-01-01T00:00:00Z	pp. 227-251	Duke University Press	fla			
10.2307/40468574	10.2307/40468574	A Peace Pilgrimage: From Total War to World Community	Joseph J. Fahey	U.S. Catholic Historian	27	2	2009-04-01T00:00:00Z	pp. 45-60	Catholic University of America Press	fla			
10.2307/41332139	10.2307/41332139	middle america and the reproductive rights backlash	carol horwitz	Off Our Backs	27	10	1997-11-01T00:00:00Z	p. 7	off our backs, inc.	fla			
10.2307/3554316	10.2307/3554316	No Place for Women? Anti-Utopianism and the Utopian Politics of the 1890s	Judy Greenway	Geografiska Annaler. Series B, Human Geography	84	3/4	2002-01-01T00:00:00Z	pp. 201-209	Swedish Society for Anthropology and Geography, Wiley	fla		The word 'utopia' can mean both good place and no place, and the common-sense meaning of 'utopian' is unrealistic. This article argues that common-sense assumptions of the impossibility of utopia are ideological, and constructed in part by the way experiments in utopian living have been represented. Historical accounts suggest utopias are doomed to inevitable failure. In fiction and autobiography, committed participants in such experiments as well as outside observers use narrative structures which distance utopian spaces from 'real life'. Using historical research and textual analysis, this argument is illustrated by discussing several women involved in utopian politics in 1890s England. Four of them, Helen and Olivia Rossetti, Edith Lees, and Gertrude Dix later wrote novels which re-created but also distanced their experiences. This distancing is partly a function of gender: for them utopia was no place for real women. This paper analyses the construction of utopian spaces in their novels, particularly the gendered relationship between domestic and political space. Narrative structure, imagery and humour are all used to undermine a sense of the possibilities of utopian living. These fictionalised accounts are compared with Nellie Shaw's more positive non-fiction account of life in the utopian community Whiteway. Although writing as a committed utopian, she, too, creates an account that distances readers. The critical analysis of such representations can begin to challenge anti-utopianism.	
10.2307/25002344	10.2307/25002344	Spirituality as a Resource for Activism: A Response to Michelle Lelwica	Martha A. Ackelsberg	Journal of Feminist Studies in Religion	14	2	1998-10-01T00:00:00Z	pp. 132-138	FSR, Inc., Indiana University Press	fla			
10.2307/40548476	10.2307/40548476	True Confessions of a Reader	LYNNE SHARON SCHWARTZ	Salmagundi		88/89	1990-10-01T00:00:00Z	pp. 176-228	Skidmore College	fla			
10.2307/41842996	10.2307/41842996	American labor history: a conspiracy of silence?	Roy Rosenzweig	Monthly Labor Review	110	8	1987-08-01T00:00:00Z	pp. 51-53		fla			
10.2307/41389704	10.2307/41389704	Beyond Marriage: The Couple	Anca Parvulescu	Discourse	26	3	2004-10-01T00:00:00Z	pp. 3-17	Wayne State University Press	fla			
10.2307/656378	10.2307/656378	Risk in Culture: The American Conflict over Nuclear Power	Gary L. Downey	Cultural Anthropology	1	4	1986-11-01T00:00:00Z	pp. 388-412	American Anthropological Association, Wiley	fla			
10.2307/2492031	10.2307/2492031	The Kronstadt Revolt of 1921: A Study in the Dynamics of Revolution	Robert V. Daniels	American Slavic and East European Review	10	4	1951-12-01T00:00:00Z	pp. 241-254	Association for Slavic, East European, and Eurasian Studies	fla			
10.2307/27781266	10.2307/27781266	An Interview by Anthony Robbins	HAYDEN CARRUTH, Anthony Robbins	The American Poetry Review	22	5	1993-09-01T00:00:00Z	pp. 47-55	American Poetry Review	fla			
10.2307/25783420	10.2307/25783420	health conference: planning	Helene Gardel	Off Our Backs	2	10	1972-07-01T00:00:00Z	p. 21	off our backs, inc.	fla			
10.2307/4610273	10.2307/4610273	A New Liberalism to Pay Old Debts	James H. Justus	The Antioch Review	20	3	1960-10-01T00:00:00Z	pp. 365-375	Antioch Review, Inc.	fla			
10.2307/4019950	10.2307/4019950	After Prison	Victoria Redel	The Women's Review of Books	3	10	1986-07-01T00:00:00Z	p. 12	Old City Publishing, Inc.	fla			
10.2307/40003299	10.2307/40003299	"Sexual Politics:" Twenty Years Later	Catharine R. Stimpson, Alix Kates Shulman, Kate Millett, Kate Millett	Women's Studies Quarterly	19	3/4	1991-10-01T00:00:00Z	pp. 30-40	The Feminist Press at the City University of New York	fla			
10.2307/27671439	10.2307/27671439	Anarchism and American Labor	Paul Buhle	International Labor and Working-Class History		23	1983-04-01T00:00:00Z	pp. 21-34	Cambridge University Press, International Labor and Working-Class, Inc.	fla			
10.2307/40543934	10.2307/40543934	Anti-Intellectualism as Romantic Discourse	Jennifer Ratner-Rosenhagen	Daedalus	138	2	2009-04-01T00:00:00Z	pp. 41-52	American Academy of Arts & Sciences, The MIT Press	fla			
10.2307/40294545	10.2307/40294545	dBASE III Plus and the MARC AMC Format: Problems and Possibilities	Ronald J. Zboray	The American Archivist	50	2	1987-04-01T00:00:00Z	pp. 210-225	Society of American Archivists	fla		As archives with smaller holdings adapt to the MARC AMC data format, they will need to explore the utility of various commercially-available, microprocessorbased, data base management systems. This article presents four approaches to using the AMC format in dBASE III Plus, the best selling of these systems. The discussion of the limitations and possibilities of the four approaches demonstrates that while there is no inherent incompatibility between dBASE and the MARC format, the most efficient use of a dBASE-MARC system requires considerable programming.	
10.5406/femteacher.20.1.0028	10.5406/femteacher.20.1.0028	Introduction—Special Cluster on Grief and Pedagogy	MONICA BARRON	Feminist Teacher	20	1	2009-01-01T00:00:00Z	pp. 28-30	University of Illinois Press	fla			
10.2307/2910092	10.2307/2910092	Early Reception of Hauptmann's Die Weber in the United States	John C. Blankenagel	Modern Language Notes	68	5	1953-05-01T00:00:00Z	pp. 334-340	The Johns Hopkins University Press	fla			
10.2307/40644042	10.2307/40644042	the anarchist scare of 1908: a sign of tensions in the progressive era	robert j. goldstein	American Studies	15	2	1974-10-01T00:00:00Z	pp. 55-78	Mid-America American Studies Association	fla			
10.2307/4288442	10.2307/4288442	History Workshop on Immigrant Anarchism	Martin Blatt	History Workshop		14	1982-10-01T00:00:00Z	pp. 165-168	Oxford University Press	fla			
10.2307/2925523	10.2307/2925523	From U.S.A. to Ragtime: Notes on the Forms of Historical Consciousness in Modern Fiction	Barbara Foley	American Literature	50	1	1978-03-01T00:00:00Z	pp. 85-105	Duke University Press	fla			
10.2307/3346519	10.2307/3346519	"Imagine My Surprise": Women's Relationships in Historical Perspective	Leila J. Rupp	Frontiers: A Journal of Women Studies	5	3	1980-10-01T00:00:00Z	pp. 61-70	University of Nebraska Press	fla			
10.2307/27747180	10.2307/27747180	Inventive Desperation: Anger, Violence, and Belonging in Mary Wilkins Freeman's and Sui Sin Far's Murderous Mother Stories	Linda M. Grasso	American Literary Realism	38	1	2005-10-01T00:00:00Z	pp. 18-31	University of Illinois Press	fla			
10.2307/27671627	10.2307/27671627	Haymarket, Henry George, and the Labor Upsurge in Britain and America during the Late 1880s	J. H. M. Laslett	International Labor and Working-Class History		29	1986-04-01T00:00:00Z	pp. 68-82	Cambridge University Press, International Labor and Working-Class, Inc.	fla			
10.2307/25747969	10.2307/25747969	From Constitutive Outside to the Politics of Extinction: Critical Race Theory, Feminist Theory, and Political Theory	Mary Hawkesworth	Political Research Quarterly	63	3	2010-09-01T00:00:00Z	pp. 686-696	Sage Publications, Inc., University of Utah	fla		Although feminist theory and critical race theory engage questions about human nature and subjectivity, criteria of legitimacy, philosophies of history, structures of power, forms of social and communal organization; and characteristics of a just polity, questions that are central concerns of political theorists, these distinctive theoretical approaches are often ignored, neglected, or marginalized within the subfield of political theory. This article examines the dimensions, causes, and political implications of such exclusion.	
10.2307/30003222	10.2307/30003222	Taking Uncivil Liberties: Body and Body Politic in the Fiction of E. L. Doctorow	William Lazenbatt	Irish Journal of American Studies	3		1993-01-01T00:00:00Z	pp. 55-71	Irish Association for American Studies	fla			
10.2307/40864303	10.2307/40864303	JOHN DEWEY, GOTHIC AND MODERN	James S. Kaminsky	British Journal of Educational Studies	58	3	2010-09-01T00:00:00Z	pp. 249-266	Society for Educational Studies, Taylor & Francis, Ltd.	fla		It is argued here that understanding John Dewey's thought as that of a prodigal liberal or a fellow traveller does not capture the complexity of his work. It is also important to recognise the portion of his work that is historie morale. In the very best sense it is epic, encapsulating the hopes and dreams of a history of the American people in the early 1900s. It is a work that simultaneously pursues modernity and the past — for the sake of coping with the present. It also calls attention to an unnoticed element in his work 'inexperience'.	
